user_id,item_id,behavior_type,user_geohash,item_category,time
98047837,232431562,1,,4245,2014-12-06 02
97726136,383583590,1,,5894,2014-12-09 20
98607707,64749712,1,,2883,2014-12-18 11
98662432,320593836,1,96nn52n,6562,2014-12-06 10
98145908,290208520,1,,13926,2014-12-16 21
93784494,337869048,1,,3979,2014-12-03 20
94832743,105749725,1,,9559,2014-12-13 20
95290487,76866650,1,,10875,2014-11-27 16
96610296,161166643,1,,3064,2014-12-11 23
100684618,21751142,3,,2158,2014-12-05 23
100509623,266020206,3,tfvomgk,4923,2014-12-08 17
101781721,139144131,1,9rgt162,3424,2014-12-13 21
103891828,255365467,1,96sjmho,552,2014-12-01 13
101260672,212072908,1,95q0is4,10984,2014-12-12 11
104811265,322736792,1,,6513,2014-12-11 19
103802946,382807809,1,,13103,2014-11-20 23
104221274,262661866,1,,4370,2014-12-14 12
110418606,144902506,1,,11639,2014-12-09 16
100684618,185630324,1,,5204,2014-11-26 11
100509623,76021805,1,,1308,2014-11-21 12
101781721,19349307,1,9rgt16g,1863,2014-12-12 12
103891828,149380817,1,,7876,2014-12-08 21
101260672,395905225,1,,14018,2014-11-28 09
104811265,328893812,1,,5894,2014-12-05 11
103802946,142178953,1,,12536,2014-11-23 21
104221274,114830658,1,,9516,2014-11-29 09
110418606,335988905,1,,10703,2014-11-25 19
100684618,66146539,1,,3783,2014-12-05 23
100509623,236195070,1,,1863,2014-12-15 14
101781721,46475830,1,9rgt17q,13230,2014-12-16 21
103891828,260817036,1,96sjmhk,552,2014-12-01 13
101260672,133494673,1,,4700,2014-12-17 20
104811265,391073843,1,,10314,2014-12-15 15
103802946,194298205,1,,11406,2014-12-18 21
104221274,256864783,1,,6512,2014-12-04 21
110418606,148461212,1,,10703,2014-11-24 20
100684618,375252803,1,,5399,2014-12-11 23
100509623,212091747,1,,3431,2014-11-26 13
101781721,5166487,1,9rgt17v,9829,2014-12-18 14
103891828,145981615,1,,7876,2014-12-11 08
101260672,49473169,1,,2993,2014-11-25 02
104811265,340843808,1,,6000,2014-12-15 20
103802946,4193777,1,,1121,2014-12-07 20
104221274,304725553,1,,9516,2014-12-14 23
110418606,208055366,1,,10703,2014-11-25 20
100684618,21751142,1,,2158,2014-12-05 23
100509623,273118637,1,,3431,2014-11-19 11
101781721,313509440,1,9rgt17c,10431,2014-12-14 17
103891828,206421787,1,,1126,2014-11-24 12
101260672,161585583,1,,13619,2014-12-17 01
104811265,219657413,1,,10523,2014-12-05 08
103802946,194298205,1,,11406,2014-12-18 21
104221274,284140496,1,,5689,2014-11-24 19
110418606,140784127,1,,10703,2014-11-24 19
100684618,94486594,1,,10984,2014-12-12 23
100509623,266020206,1,,4923,2014-12-15 18
101781721,283538678,1,9rgt17g,1863,2014-12-17 12
103891828,248073278,1,,7876,2014-12-11 00
101260672,362146347,1,95qsbd4,2254,2014-12-16 12
104811265,202500981,1,,9614,2014-12-04 10
103802946,98973600,1,,8656,2014-12-14 00
104221274,39866123,1,,12141,2014-12-08 08
116730636,270690990,3,,1674,2014-12-17 11
100684618,397418323,1,,5399,2014-12-06 20
100509623,64021960,1,tfvombg,4923,2014-12-08 17
101781721,46475830,3,9rgt17a,13230,2014-12-16 12
103891828,213542895,1,,329,2014-12-16 22
101260672,283463980,1,95qsbdu,2254,2014-12-17 10
104811265,361649536,2,,10523,2014-12-05 08
103802946,190848347,1,,5232,2014-12-12 22
104221274,278432568,1,,7727,2014-11-23 20
116730636,342201239,1,,10213,2014-12-09 19
100684618,278753736,1,,1606,2014-12-14 11
100509623,397793541,1,,3431,2014-11-24 18
101781721,164843429,1,9rgt16n,10431,2014-12-14 13
103891828,149380817,1,,7876,2014-12-08 21
101260672,47869935,1,,13230,2014-12-14 19
104811265,80446342,1,,9614,2014-12-04 09
103802946,58347614,1,,6516,2014-12-13 22
104221274,254322054,1,,5399,2014-12-18 19
116730636,199003005,1,,12143,2014-12-13 19
100684618,128274652,1,,8179,2014-12-10 09
100509623,70778374,1,,1098,2014-11-19 11
101781721,106292084,1,9rgt16e,2513,2014-12-17 17
103891828,398798448,1,,1126,2014-11-24 12
101260672,112620970,1,95qsbdj,2254,2014-11-19 17
104811265,111298091,1,,9614,2014-12-04 10
103802946,362997518,1,,11541,2014-12-13 22
104221274,21663778,1,,9516,2014-12-06 09
116730636,307377336,1,,12488,2014-11-24 21
100684618,21751142,1,,2158,2014-12-16 19
100509623,208961216,1,,12221,2014-11-22 16
101781721,372499531,1,9rgt16q,3424,2014-12-13 12
